Agro, Bosna
Arhi, Čačak
Avala, Dalmacija
Avio, Drina
Belo, Dunav
Beo, eksport-import
Beton, Hrvatska
Bosno, Jadran
Brodo, Morava
Bruto, Niš
Centro, Sava
Delta, Slovenija
Dento, Valjevo
Disko, Vojvodina
Dobro,teks
Drvo,agrar
Eko,auto
Elektro,banka
Energo,bašta
Grado,biro
Gvožđo,borba
Hemo,bran
Hrvo,brana
Jugo,bravar
Kino,brod
Lito,bus
Malo,čelik
Mašino,čvor
Mehano,difuzija
Metalo,distribucija
Mleko,dobro
Mosto,drum
Moto,društvo
Nafta,dvorana
Nafto,ekonomat
Nišo,eksport
Novo,ekspres
Pan,enterijer
Pano,farm
Poli,film
Poljo,fon
Radio,gas
Regio,gradnja
Selo,graf
Šino,grafika
Srbija,granit
Srbo,guma
Tehno,hemija
Tele,hercegovina
Termo,import
Tesla,industrija
Trgo,ishrana
Vele,jedinstvo
Vino,keramika
Vodo,knjiga
Zemljo,kom
Žito,kombajn
,kombinat
,komunikacije
,kop
,krajina
,kultura
,laboratorija
,lada
,led
,linija
,lutrija
,mehanika
,mermer
,mes
,nafta
,nameštaj
,napredak
,neimar
,ogrev
,opeka
,optika
,osiguranje
,otpad
,otpor
,panonija
,petrol
,pionir
,plan
,plin
,praktik
,preduzeće
,preduzetnik
,prehrana
,premija
,privreda
,prizma
,proces
,prodaja
,produkt
,progres
,proizvod
,projekt
,promet
,prospekt
,put
,putnik
,računar
,rad
,rad
,radio
,radnik
,rafinerija
,rama
,rasad
,ratar
,razvod
,razvoj
,reke
,remedija
,remont
,roba
,rod
,sad
,salon
,savez
,šećer
,sekcija
,sindikat
,škola
,slavija
,šped
,sport
,štampa
,stan
,šted
,stroj
,struga
,strugar
,šume
,tehnika
,tehnolog
,teka
,tekstil
,tekton
,tip
,ton
,traktor
,trans
,transport
,tranzistor
,trijumf
,trofej
,ulje
,unija
,vet
,vizija
,vo
,vod
,voz
,vreme
,vrt
,zavod
,zidar
,zubar
