first_word,in_english1,second_word,in_english2
korpi,wilderness,kylä,town
pelto,field,kumpu,hillock
korppi,raven,lahti,bay
pihti,forked stick,lahti,bay
sorkka,claw,lahti,bay
pihlaja,rowan,vesi,water
mänty,pine,järvi,lake
kuusi,spurce,järvi,lake
perä,stern,järvi,lake
ranta,beach,vuori,hill 
seinä,wall,koski,rapids
leppä,alder,niemi,peninsula
kana,chicken,mäki,hill
äijä,dude,maa,land
kangas,cloth,joki,river
saari,island,salo,sliver
kyy,viper snake,harju,ridge
peura,deer,lampi,pond
mökki,cottage,vaara,danger
sauna,sauna,aho,clearing
hanhi,goose,virta,stream
vuohi,goat,suo,swamp
jyväs,grain,salmi,strait
lapio,shovel,pohja,bottom
savu,smoke,risto,?
mylly,powerhouse,koroke,
koivu,birch,lava,platform
rauta,iron,pohjantie,
salmi,strait,stentie,
ylä,upper,sumu,fog
ahon,name,jalka,foot/base
hauki,pike,juuri,
siika,whitefish,linna,castle
kota,hut,torni,tower
putki,tube,pylväs,pillar
suo,swamp,kaupunki,city
hirven,moose,kumpu,hillock
siili,hedgehog,la,place
hevon,horse,selka,back
ala,lower,lehto,grove
havu,coniferous,mulkku,dick
laaja,wide,loma,vacation
risti,cross,haara,crotch/branch
oravan,squrrel,pelto,field
onki,a fishing rod,prutku,motorboat
kirkko,church,,
tammi,oak,,
kirves,ax,,
kontti,container,,
tikka,woodpecker,,
kilpi,shield,,
taka,rear,,
kallio,rock,,
heinä,hay,,
kukku,hill,,
karin,name,,
koti,house,,
supi,racoon,,
suvi,summer,,
teräs,steel,,
musta,black,,
valko,white,,
särki,roach,,
vähä,little,,
ilves,lynx,,
vanha,old,,
halko,log,,
kuhan,pike perch,,
laukka,gallop,,
lanka,yarn,,
terva,tarn,,
taipaleen,lap,,
pata,pot,,
kulo,wildfire,,
riihi,drying barn,,
ori,stallion,,
voi,butter,,
paju,willow,,
kiulu,pail,,
kanto,stump,,
nuutilan,name,,
aleksin,name,,
kiviniemen,name,,
väinämön,name,,
ahden,name,,
paalun,name,,
hiitosen,name,,
ailion,name,,
karjalaisen,name,,
hongan,name,,
alajan,name,,
kallialan,name,,
pertun,name,,
kyöstin,name,,
niemisen,name,,
syrjäsen,name,,
saarisen,name,,
nuutisen,name,,
pitkä,long,,
harvan,name,,
vaaskiven,name,,
suvivuon,name,,
laitakarin,name,,
vuorjoen,name,,
virkkusen,name,,
virtasen,name,,
makkosen,name,,
sotavallan,name,,
rinkaman,name,,
kahanpään,name,,
peltosen,name,,
paasivirran,name,,
leppälän,name,,
leikolan,name,,
alkion,name,,
kanniston,name,,
mikkolan,name,,
etolan,name,,
yrjö,name (was koskisen),,
lehdon,name,,
aarnion,name,,
aarolan,name,,
anttilan,name,,
alkion,name - ali-raatikaisen removed,,
eerolan,name,,
jakkolan,name,,
jakkilan,name,,
ensiön,name,,
haapalan,name,,
haapaojan,name,,
hakalan,name,,
hytölän,name,,
jalaston,name,,
kekkosen,name,,
keravan,name,,
kiialan,name,,
kosken,name,,
kouhian,name,,
kurjen,name,,
kutilan,name,,
laihian,name,,
lapin,name,,
lerssin,name,,
nummilan,name,,
nyrösen,name,,
ojan,name,,
paajalan,name,,
palolan,name,,
patalan,name,,
kaka,?,,
uloste,poop,,
haiku,whiff,,
puukko,knife,,
veitsi,knife,,
koni,nag,,
Hirviö,monster,,
raakki,ogre,,
hylky,wreck,,
sumuinen,foggy,,
hämärä,twiglight,,
ounin,general/union?,,
koira,dog,,
kissa,cat,,
Pyhä,??,,
suonen,vascular,,
Uusi,newcomer,,
Valkea,white,,
palo,fire,,
musta,black,,
punainen,red,,
vihreä,green,,
synkkä,gloomy,,
rivo,obscene vulgar,,
vanhoillinen,conservative,,
jäyhä,stoic,,
raaka,raw crude,,
julma,cruel,,
kauhea,dreadful,,
outo,weird,,
Pieksä,beat,,
kolvas,piston,,
Kiimas,horny,,
Panka,bank,,
niitty,meadow,,
kiven,stone,,
Mustikka,blueberry,,
siitin,penis,,
tappava,deadly,,
haisu,stink,,
poro,reindeer,,
